,GRAD,INICIAIS,POSTO,HORÁRIO,LOTAÇÃO,SECRETÁRIA,HORAS_TRABALHADAS
11,GCM,LLDSA,GABINETE - COMANDO,"07 Ã€S 19h (DIAS: 02,04,09,10,11,12,15,16,18,19,23,24,26,29,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
12,GCM,ESDS,GABINETE - COMANDO,"07 Ã€S 19h (DIAS: 03,04,05,08,10,11,16,17,18,22,24,25,26,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
13,INSP,EMDS,CHEFE ADJUNTO DA DIVISÃƒO DE PLANEJAMENTO E OPERAÃ‡Ã•ES,07 Ã€S 16h 2Âª/6Âª.,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
14,SI,EDSLP,FISCALIZAÃ‡ÃƒO (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
15,SI,JDS,FISCALIZAÃ‡ÃƒO (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
16,INSP,CRDR,GERÃŠNCIA OPERACIONAL (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
17,INSP,WVC,GERÃŠNCIA OPERACIONAL (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
18,GCM,RDMA,GERÃŠNCIA OPERACIONAL,"07 Ã€S 19h (DIAS: 02,03,04,08,10,12,16,17,19,22,24,25,26,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
19,GCM,JDFMDN,GERÃŠNCIA OPERACIONAL,"07 Ã€S 19h (DIAS: 03,04,05,08,09,11,12,15,17,18,22,23,25,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
20,GCM,LMDS,GERÃŠNCIA OPERACIONAL,"07 Ã€S 19h (DIAS: 02,04,05,09,10,11,15,16,18,19,23,24,26,29,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
21,GCM,DDSS,GERÃŠNCIA OPERACIONAL (G.T.O.),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
22,GCM,VRP,GERÃŠNCIA ADMINISTRATIVA,"07 Ã€S 19h (DIAS: 02,03,04,05,08,09,10,15,17,19,23,25,29,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
23,GCM,SHSL,GERÃŠNCIA ADMINISTRATIVA,"07 Ã€S 19h (DIAS: 03,04,05,08,10,11,12,15,17,19,22,24,25,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
24,GCM,ESML,GERÃŠNCIA ADMINISTRATIVA,"07 Ã€S 19h (DIAS: 02,04,05,08,10,12,15,16,18,19,22,24,26,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
25,GCM,FVDA,GERÃŠNCIA ADMINISTRATIVA,"07 Ã€S 19h (DIAS: 03,04,08,09,10,12,16,18,22,23,24,26,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
26,SI,GADVJ,CHEFE ADJUNTO DO DEPARTAMENTO PESSOAL,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
27,SI,WVADC,DEPARTAMENTO PESSOAL,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
28,GCM,FFDOC,DEPARTAMENTO PESSOAL,"07 Ã€S 19h (DIAS: 02,03,05,08,09,10,12,15,17,19,22,23,25,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
29,GCM,PMDS,DEPARTAMENTO PESSOAL,"07 Ã€S 19h (DIAS: 02,04,05,08,09,11,12,16,18,19,22,24,26,29,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
30,GCM,HRC,DEPARTAMENTO PESSOAL,"07 Ã€S 19h (DIAS: 02,03,08,09,10,12,15,16,17,19,22,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
31,GCM,FRR,DEPARTAMENTO PESSOAL,"07 Ã€S 19h (DIAS: 03,04,05,09,10,11,15,17,18,23,24,25,26,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
32,SI,DFDS,CHEFE ADJUNTO DO SETOR DE ESCALAS,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
33,GCM,DACDSS,SETOR DE ESCALA,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
34,GCM,CKDOF,SETOR DE ESCALA,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
35,GCM,MDSM,SETOR DE ESCALA,"07 Ã€S 19h (DIAS: 03,05,09,11,12,16,17,19,22,23,24,26,29,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
36,GCM,ACAES,SETOR DE ESCALA EXTRA E PORTAL GCMR,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
37,GCM,DFDMS,SETOR DE ESCALA EXTRA E PORTAL GCMR,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
38,GCM,VDSS,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
39,GCM,JWGP,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
40,GCM,MDFFN,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
41,GCM,LVAS,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS:  02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
42,GCM,WSAM,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS:  02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
43,GCM,DMMDL,INTELIGÃŠNCIA DA GCMR,"07 Ã€S 19h (DIAS:  02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
44,GCM,NAADS,SEÃ‡ÃƒO DE INSTRUÃ‡ÃƒO (SINS),"07 Ã€S 19h (DIAS: 02,03,04,09,10,12,15,17,18,23,24,25,26,29,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
45,GCM,ASDP,SEÃ‡ÃƒO DE INSTRUÃ‡ÃƒO (SINS),"07 Ã€S 19h (DIAS: 02,03,04,08,10,11,15,16,18,19,22,24,25,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
46,GCM,MTDFDL,SEÃ‡ÃƒO DE INSTRUÃ‡ÃƒO (SINS),"07 Ã€S 19h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
47,GCM,BPCDAD,SEÃ‡ÃƒO DE INSTRUÃ‡ÃƒO (SINS),"07 Ã€S 19h (DIAS: 02,03,04,08,10,11,15,16,18,19,22,24,25,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
48,GCM,CKSDN,SEÃ‡ÃƒO DE INSTRUÃ‡ÃƒO (SINS),"07 Ã€S 19h (DIAS: 04,05,08,09,10,11,16,17,18,19,22,23,24,30,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
49,SI,VGDN,NÃšCLEO DE APOIO SOCIAL,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
50,SI,JVB,NÃšCLEO DE APOIO SOCIAL,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
51,SI,EPDM,RONDA ASSISTÃŠNCIA SOCIAL (CHEFE),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,DIREITOS HUMANOS,
52,GCM,LEDS,RONDA ASSISTÃŠNCIA SOCIAL (MOTORISTA),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,DIREITOS HUMANOS,
53,GCM,JDAS,BRIGADA MARIA DA PENHA,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SECRETARIA DA MULHER,
54,GCM,GDAC,BRIGADA MARIA DA PENHA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
55,GCM,DMLDS,BRIGADA MARIA DA PENHA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
56,GCM,RFDS,BRIGADA MARIA DA PENHA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
57,GCM,MSDS,BRIGADA MARIA DA PENHA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
58,SI,AXDLN,BRIGADA MARIA DA PENHA,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
59,GCM,AFDL,BRIGADA MARIA DA PENHA,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
60,GCM,RSBF,BRIGADA MARIA DA PENHA,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
61,GCM,NMMDS,BRIGADA MARIA DA PENHA,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
62,GCM,MJHFDA,BRIGADA MARIA DA PENHA,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DA MULHER,12x36
63,SI,JFDS,GTUR - RONDA TURÃSTICA (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
64,GCM,JEDS,GTUR - RONDA TURÃSTICA (CHEFE),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
65,GCM,JASCG,GTUR - RONDA TURÃSTICA (MOTORISTA),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
66,GCM,MJDS,GTUR - RONDA TURÃSTICA (CHEFE),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
67,GCM,TRMDS,GTUR - RONDA TURÃSTICA (MOTORISTA),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
68,GCM,JFFG,GTUR - RONDA TURÃSTICA (CHEFE),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
69,GCM,DWQDM,GTUR - RONDA TURÃSTICA (MOTORISTA),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
70,GCM,RVC,GTUR - RONDA TURÃSTICA (CHEFE),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
71,GCM,FRDS,GTUR - RONDA TURÃSTICA (MOTORISTA),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
72,GCM,IBDS,GTUR - RONDA TURÃSTICA (CHEFE),"19 Ã€S 07h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
73,GCM,WDFDSL,GTUR - RONDA TURÃSTICA (MOTORISTA),"19 Ã€S 07h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
74,GCM,TMD,GTUR - RONDA TURÃSTICA (CHEFE),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
75,GCM,HDLDS,GTUR - RONDA TURÃSTICA (MOTORISTA),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
76,SI,RBDS,RONDA ESCOLAR (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
77,GCM,DRDM,RONDA ESCOLAR (CHEFE),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
78,GCM,VSDS,RONDA ESCOLAR (MOTORISTA),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
79,GCM,JADL,RONDA ESCOLAR (CHEFE),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
80,GCM,JADLN,RONDA ESCOLAR (MOTORISTA),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
81,GCM,MLDSJ,RONDA ESCOLAR (CHEFE),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
82,GCM,PHDSB,RONDA ESCOLAR (MOTORISTA),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
83,GCM,DGDA,RONDA ESCOLAR (MOTORISTA),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
84,GCM,MMPDS,RONDA ESCOLAR (CHEFE),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
85,GCM,CGFDFF,RONDA ESCOLAR (MOTORISTA),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
86,GCM,ARNDS,RONDA ESCOLAR (CHEFE),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
87,GCM,EENDS,RONDA ESCOLAR (MOTORISTA),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
88,SI,LADS,RONDA ESCOLAR (CHEFE),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
89,SI,FAJDC,RONDA ESCOLAR (CHEFE),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
90,GCM,BRPDS,RONDA ESCOLAR (MOTORISTA),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
91,GCM,THMDS,RONDA ESCOLAR (CHEFE),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
92,GCM,MSDA,RONDA ESCOLAR (MOTORISTA),"19 Ã€S 07h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
93,GCM,ATVDF,RONDA ESCOLAR (MOTORISTA),"19 Ã€S 07h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
94,GCM,GRAP,RONDA ESCOLAR (CHEFE),"19 Ã€S 07h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
95,GCM,FRBDF,RONDA ESCOLAR (MOTORISTA),"19 Ã€S 07h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,
96,SI,MHR,RONDA DA SAÃšDE (COORDENADOR),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
97,GCM,EDSV,RONDA DA SAÃšDE (CHEFE),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
98,GCM,GDOLF,RONDA DA SAÃšDE (MOTORISTA),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
99,GCM,RCDS,RONDA DA SAÃšDE (CHEFE),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
100,GCM,JMPJ,RONDA DA SAÃšDE (MOTORISTA),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
101,SI,ACGDS,RONDA DA SAÃšDE (CHEFE),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
102,GCM,GIDS,RONDA DA SAÃšDE (MOTORISTA),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
103,GCM,MADLM,RONDA DA SAÃšDE (MOTORISTA),"08 Ã€S 20h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
104,GCM,GGDS,RONDA DA SAÃšDE (CHEFE),"08 Ã€S 20h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
105,GCM,FBDSJ,RONDA DA SAÃšDE (CHEFE),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
106,GCM,ARDA,RONDA DA SAÃšDE (MOTORISTA),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
107,GCM,NEDS,RONDA DA SAÃšDE (CHEFE),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
108,GCM,CAFDS,RONDA DA SAÃšDE (MOTORISTA),"06 Ã€S 18h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
109,GCM,EADL,RONDA DA SAÃšDE (CHEFE),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
110,GCM,DLDO,RONDA DA SAÃšDE (MOTORISTA),"06 Ã€S 18h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
111,GCM,ECDS,RONDA DA SAÃšDE (CHEFE),"18 Ã€S 06h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
112,GCM,AFC,RONDA DA SAÃšDE (MOTORISTA),"18 Ã€S 06h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
113,SI,RCDO,RONDA DA SAÃšDE (CHEFE),"18 Ã€S 06h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
114,GCM,PVSL,RONDA DA SAÃšDE (MOTORISTA),"18 Ã€S 06h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
115,GCM,LJDSS,RONDA DA SAÃšDE (CHEFE),"20 Ã€S 08h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
116,GCM,JJJDS,RONDA DA SAÃšDE (MOTORISTA),"20 Ã€S 08h (DIAS: 01,03,05,06,07,09,11,15,17,19,20,21,23,25,29,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
117,SI,AAC,RONDA DA SAÃšDE (CHEFE),"20 Ã€S 08h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
118,GCM,JLAJ,RONDA DA SAÃšDE (MOTORISTA),"20 Ã€S 08h (DIAS: 02,04,08,10,12,13,14,16,18,22,24,26,27,28,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
119,GCM,RMDON,RONDAC (CHEFE),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
120,GCM,CBAP,RONDAC (CHEFE),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
121,GCM,BACDS,RONDAC (MOTORISTA),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
122,GCM,ADSS,RONDAC (MOTORISTA),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
123,GCM,AFBMCA,RONDAC (PATRULHEIRO),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
124,GCM,EMDS,RONDAC (PATRULHEIRO),"06 Ã€S 06h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
125,GCM,AIDS,RONDAC (CHEFE),"08 Ã€S 08h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
126,GCM,CVDC,RONDAC (CHEFE),"08 Ã€S 08h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
127,GCM,AJDS,RONDAC (MOTORISTA),"08 Ã€S 08h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
128,GCM,LMDSC,RONDAC (MOTORISTA),"08 Ã€S 08h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
